Date_of_death,DeathCount,,,,,
3/15/20,1,,,,,
3/16/20,1,,,,,
3/17/20,2,,,,,
3/18/20,1,,,,,
3/19/20,0,,,,,
3/20/20,5,,,,,
3/21/20,5,,,,,
3/22/20,6,,,,,
3/23/20,7,,,,,
3/24/20,5,,,,,
3/25/20,6,,,,,
3/26/20,9,,,,,
3/27/20,4,,,,,
3/28/20,11,,,,,
3/29/20,19,,,,,
3/30/20,15,,,,,
3/31/20,22,,,,,
4/1/20,25,,,,,
4/2/20,22,,,,,
4/3/20,32,,,,,
4/4/20,29,,,,,
4/5/20,36,,,,,
4/6/20,32,,,,,
4/7/20,39,,,,,
4/8/20,34,,,,,
4/9/20,40,,,,,
4/10/20,26,,,,,
4/11/20,26,,,,,
4/12/20,30,,,,,
4/13/20,34,,,,,
4/14/20,43,,,,,
4/15/20,34,,,,,
4/16/20,28,,,,,
4/17/20,35,,,,,
4/18/20,26,,,,,
4/19/20,25,,,,,
4/20/20,29,,,,,
4/21/20,27,,,,,
4/22/20,10,,,,,
